locality	type_core	lat_N	lon_E	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
Duowa_China	loess	35.65	102.63	3.29	10.19	2.80E+02	1.29E+02	1.18E+02	6.46E+01
Xifeng_China	loess	35.70	107.70	0.00	7.81	1.03E+02	9.16E+01	2.26E+01	2.06E+01
Zhaojiachuan_China	loess	35.75	107.82	0.00	12.00	1.16E+02	7.04E+01	2.91E+01	2.48E+01
Renjiahutong/Heimugou-2/Luochuan_China	loess	35.75	109.42	2.40	11.90	2.04E+02	5.32E+01	4.49E+01	1.48E+01
LGG_China	loess	35.76	107.80	2.89	11.70	4.08E+02	1.48E+02	1.52E+02	8.18E+01
Mengdashan_China	loess	35.77	102.00	0.00	11.70	5.88E+02	5.16E+02	2.47E+02	2.38E+02
Gaolanshan_China	loess	36.00	103.83	0.00	10.41	3.01E+02	1.28E+02	6.93E+01	3.26E+01
Beiyuantou_China	loess	36.05	107.50	0.21	7.81	4.62E+01	5.53E+01	8.32E+00	1.01E+01
Landa_China	loess	36.05	103.84	2.42	7.56	4.19E+02	1.78E+02	1.03E+02	5.39E+01
Jiuzhoutai-Lanzhou_China	loess	36.07	103.75	1.94	11.52	6.40E+02	2.72E+02	1.47E+02	6.91E+01
Xiadongcun-Jixian_China	loess	36.10	110.67	0.00	11.70	9.20E+01	8.09E+01	2.02E+01	1.82E+01
Robat-e-Khakestari_Iran	loess	36.11	59.66	0.00	12.50	6.16E+01	2.31E+01	1.77E+01	8.49E+00
Lijiayuan_China	loess	36.12	104.85	0.00	7.81	1.48E+02	1.30E+02	3.40E+01	3.06E+01
Yichuan_China	loess	36.13	110.15	0.00	7.81	1.12E+02	9.89E+01	2.47E+01	2.23E+01
Majiayuan_China	loess	36.27	107.50	0.21	7.81	5.84E+01	6.97E+01	1.13E+01	1.39E+01
Baicaoyuan_China	loess	36.27	105.10	0.21	6.27	1.38E+02	2.01E+02	3.17E+01	4.67E+01
Jingyuan_China	loess	36.35	104.60	2.48	9.27	1.68E+02	8.13E+01	5.57E+01	2.92E+01
Beiguoyuan_China	loess	36.37	107.16	7.90	9.90	2.70E+02	1.33E+02	5.94E+01	3.15E+01
Xiala_China	loess	36.45	100.55	0.70	10.20	1.46E+02	6.36E+01	3.66E+01	2.71E+01
Huanxian_China	loess	36.53	107.33	0.19	9.10	1.28E+02	5.54E+01	3.20E+01	2.37E+01
Tuxiangdao_China	loess	36.58	101.73	0.00	11.70	1.34E+02	1.18E+02	3.08E+01	2.86E+01
Yanchang_China	loess	36.60	110.02	0.00	7.81	6.56E+01	5.81E+01	1.18E+01	1.07E+01
Beiguoyuan-II_China	loess	36.62	107.29	2.05	9.73	1.88E+02	1.78E+03	3.33E+01	3.14E+02
Xining-Dadunling_China	loess	36.63	101.80	0.21	7.81	2.28E+02	2.72E+02	5.25E+01	6.35E+01
Focun_China	loess	36.64	118.15	3.90	6.70	2.00E+02	9.62E+01	7.43E+01	5.16E+01
Shaozhuang_China	loess	36.72	118.23	6.92	11.70	1.58E+02	8.97E+01	4.26E+01	3.23E+01
Xiangpishan_China	loess	36.78	100.70	0.60	10.40	1.88E+02	8.15E+01	3.39E+01	2.00E+01
Xueyuan_China	loess	36.92	106.97	0.00	7.81	1.91E+02	1.68E+02	2.48E+01	2.24E+01
Kalat-e-Naderi-a_Iran	loess	37.00	59.73	0.00	13.70	1.56E+02	5.77E+01	4.14E+01	1.97E+01
Blue-Lake_USA	lake	37.24	-106.63	0.25	4.35	2.18E+01	9.28E+00	8.72E+00	5.73E+00
Crater_USA	lake	37.39	-106.69	0.97	11.70	1.94E+01	8.25E+00	7.77E+00	4.53E+00
Huangyanghe_China	loess	37.42	102.60	2.43	11.25	3.07E+02	6.58E+01	9.22E+01	3.40E+01
Jingbian-II_China	loess	37.50	108.90	2.50	11.70	2.41E+02	7.44E+01	2.41E+01	1.04E+01
Mujiayuan-Wupu_China	loess	37.57	110.72	0.00	7.81	6.56E+01	5.78E+01	1.05E+01	9.48E+00
Jingbian-I_China	loess	37.60	108.82	2.78	9.45	2.24E+02	8.10E+01	4.87E+01	2.62E+01
Yellibadragh_Iran	loess	37.60	55.43	0.14	11.80	9.22E+01	4.00E+01	2.30E+01	1.71E+01
V21-146_Pacific-Ocean	marine	37.68	163.03	2.80	10.90	4.13E+00	1.84E+00	4.12E+00	1.85E+00
XZP_China	loess	37.79	120.67	0.75	11.70	7.15E+01	3.13E+01	1.72E+01	1.02E+01
Clear_USA	lake	37.83	-107.79	0.25	4.27	2.25E+01	8.12E+00	1.12E+01	6.05E+00
Columbine_USA	lake	37.86	-107.77	0.23	2.77	2.55E+01	9.27E+00	8.92E+00	4.82E+00
Phorphyry_USA	lake	37.89	-107.75	3.18	5.18	2.20E+01	1.03E+01	3.74E+00	1.91E+00
Neor-Lake_Iran	peat	37.96	48.56	0.39	11.54	1.29E+00	7.98E-01	1.12E+00	7.29E-01
Zhenbeitai_China	loess	38.33	109.73	2.95	10.75	4.54E+02	1.98E+02	1.04E+01	6.92E+00
Tajik-Basin_Tajikistan	loess	38.34	68.71	0.80	8.00	1.77E+02	7.58E+01	5.17E+01	3.04E+01
Hoalin_Tajikistan	loess	38.36	69.94	0.00	1.70	4.42E+01	3.66E+01	2.09E+01	2.02E+01
Barton-County_USA	loess	38.40	-98.70	0.00	11.20	1.02E+02	3.33E+01	2.56E+01	9.77E+00
Kirpichny_Tajikistan	loess	38.56	68.96	0.00	7.85	9.58E+01	3.56E+01	4.47E+01	3.16E+01
Beisel-Steinle_USA	loess	38.80	-98.50	0.00	13.25	1.35E+02	4.65E+01	3.38E+01	1.35E+01
Qilian-Shan-section-E4_China	loess	38.90	99.59	3.60	8.50	3.22E+02	1.43E+02	8.04E+01	6.01E+01
Qilian-Shan-section-E1_China	loess	38.96	99.90	6.30	9.20	1.98E+02	9.83E+01	4.94E+01	3.85E+01
Qilian-Shan-section-E5_China	loess	38.96	99.54	3.80	9.30	2.87E+02	1.25E+02	7.17E+01	5.32E+01
Rudak_Uzbekistan	loess	39.01	67.12	0.50	12.57	1.47E+02	6.30E+01	3.66E+01	2.70E+01
Qilian-Shan-section-C1_China	loess	39.31	98.92	4.20	9.40	1.93E+02	8.59E+01	4.82E+01	3.60E+01
Qilian-Shan-section-W3_China	loess	39.59	97.71	3.70	7.30	7.96E+01	3.76E+01	1.99E+01	1.52E+01
Peters/Speed_USA	loess	39.70	-99.40	0.00	10.09	1.85E+02	5.97E+01	3.69E+01	1.63E+01
RC14-105_Pacific-Ocean	marine	39.70	157.60	1.80	1.80	2.59E+00	1.14E+00	2.12E+00	1.41E+00
Chagelebulu-1-Cagelebulu_China	loess	39.88	103.30	2.14	7.99	4.90E+02	2.08E+02	1.37E+02	6.44E+01
Zhaitang_China	loess	39.98	115.68	0.00	11.70	3.58E+01	3.15E+01	7.88E+00	7.10E+00
SU90-03_Atlantic-Ocean	marine	40.00	-32.00	2.70	2.70	1.35E+00	5.94E-01	1.35E+00	1.00E+00
Naponee_USA	loess	40.09	-99.09	0.00	11.70	5.72E+02	1.96E+02	1.14E+02	4.54E+01
Kuma_USA	loess	40.48	-101.39	8.40	11.60	5.68E+01	3.25E+01	1.41E+01	9.83E+00
OWR_USA	loess	40.50	-101.42	0.36	8.43	9.36E+02	4.06E+02	2.24E+02	1.07E+02
Bignell-Hill-1_USA	loess	41.00	-101.50	0.00	10.46	5.48E+02	1.76E+02	6.58E+01	2.49E+01
LRC_USA	loess	41.48	-100.19	0.32	6.74	6.49E+02	2.13E+02	1.83E+02	9.48E+01
Kyrgyz_Kazakhstan	loess	42.00	74.00	4.00	8.00	4.05E+02	3.51E+02	9.80E+01	8.98E+01
Hani_China	peat	42.22	126.52	0.00	11.70	2.52E+01	5.64E+00	1.26E+01	6.89E+00
Sihailongwan_China	lake	42.29	126.60	2.18	11.68	3.22E+02	1.02E+02	1.32E+02	5.74E+01
ZS_China	loess	42.93	80.96	0.59	11.70	1.11E+02	3.39E+01	4.84E+01	2.84E+01
Valikhanov_Kazakhstan	loess	43.17	69.32	2.24	6.93	2.57E+02	8.22E+01	5.10E+01	3.02E+01
Romantic_Kazakhstan	loess	43.21	77.02	0.00	12.46	9.48E+01	3.02E+01	4.43E+01	2.63E+01
NLT17_China	loess	43.31	83.99	0.48	11.70	1.39E+02	3.98E+01	4.57E+01	3.04E+01
TLD16_China	loess	43.36	83.02	0.38	11.70	1.29E+02	3.94E+01	4.13E+01	2.42E+01
TLD_China	loess	43.40	83.04	0.73	11.70	1.21E+02	4.51E+01	4.20E+01	2.62E+01
XY17_China	loess	43.40	83.18	1.99	11.70	8.67E+01	2.88E+01	2.86E+01	1.96E+01
XEB_China	loess	43.42	82.99	1.15	11.70	9.38E+01	3.45E+01	3.26E+01	2.03E+01
Xiaoerbulake_China	loess	43.42	83.07	0.46	11.84	5.35E+02	2.01E+02	1.06E+02	7.50E+01
Xistral-Mountains_Spain	peat	43.45	-7.53	0.00	6.39	3.98E+00	8.90E-01	1.79E+00	1.15E+00
KS15-05_China	loess	43.45	83.96	7.15	11.70	3.07E+02	1.21E+02	9.65E+01	6.14E+01
Nilka_China	loess	43.76	83.25	0.00	14.00	1.09E+02	4.00E+01	2.72E+01	1.91E+01
