locality	type_core	lat	lon	top_age_kaBP	bottom_age_kaBP	DMAR_g/m2a	sigma_g/m2a	DMAR10_g/m2a	sigma10_g/m2a
BCCPT_Hungary	loess	48.13	21.40	17.21	27.49	5.72E+02	7.20E+01	1.43E+02	8.77E+01
Achenheim_France	loess	48.35	7.38	19.50	24.00	2.54E+02	2.08E+02	6.35E+01	5.35E+01
Molodova-V_Ukraine	loess	48.50	26.89	20.47	25.75	7.20E+02	3.08E+02	1.80E+02	8.50E+01
Doln -Vestonice_Czech-Republic	loess	48.89	16.66	19.60	23.10	7.46E+02	7.62E+02	1.86E+02	1.94E+02
B nningheim_Germany	loess	49.04	9.14	17.50	26.10	7.40E+02	4.46E+02	1.85E+02	1.18E+02
Halyc_Ukraine	loess	49.10	24.80	18.20	26.40	8.31E+01	6.96E+01	2.08E+01	1.79E+01
B ckingen_Germany	loess	49.13	9.18	18.10	22.90	4.76E+02	3.40E+02	1.19E+02	8.83E+01
Nussloch_Germany	loess	49.30	8.80	18.43	24.80	2.08E+03	9.23E+02	5.19E+02	2.53E+02
RNDB-PC-13_Pacific-Ocean	marine	49.72	168.30	19.00	23.00	9.27E+00	4.08E+00	9.27E+00	6.90E+00
Lowland-Point_UK	loess	50.04	5.07	19.30	21.20	7.08E+02	6.35E+02	1.77E+02	1.68E+02
Remicourt_Belgium	loess	50.67	5.40	18.70	23.80	4.48E+02	3.68E+02	1.12E+02	9.47E+01
Rocourt_Belgium	loess	50.68	5.54	17.10	24.80	8.48E+01	4.62E+01	2.12E+01	1.23E+01
Romont-East_Belgium	loess	50.79	5.66	21.70	25.30	6.47E+02	5.53E+02	1.62E+02	1.46E+02
Pegwell-Bay_UK	loess	51.33	1.37	19.07	24.21	6.64E+02	2.99E+02	8.87E+01	4.37E+01
Lihkvin_Russia	loess	54.11	36.27	17.90	27.70	3.80E+02	1.62E+02	8.98E+01	4.67E+01
Lozhok_Russia	loess	54.57	83.31	19.00	26.50	2.38E+02	1.16E+02	5.95E+01	4.59E+01
Iskitim_Russia	loess	55.00	83.20	19.55	21.70	1.79E+03	1.13E+03	4.49E+02	3.89E+02
St.-Michael-Island-Zagoskin-Lake_USA	lake	63.45	-162.10	24.00	27.00	2.35E+02	1.58E+02	8.70E+01	6.08E+01
Halfway-House_USA	loess	64.72	-147.50	19.43	24.96	7.59E+01	3.02E+01	1.90E+01	8.46E+00
Egg-Lake_USA	loess	66.55	-164.44	21.38	22.90	6.55E+02	5.05E+02	1.64E+02	1.30E+02
GISP2_Greenland	ice-core	72.58	-37.63	19.00	26.50	5.27E-02	1.22E-02	5.27E-02	1.46E-02
NGRIP2_Greenland	ice-core	75.10	-42.32	19.00	26.50	6.26E-02	1.45E-02	6.26E-02	1.48E-02
Kano_Niger	nan	12.00	8.31	100.00	20.00	259.17	64.725	62.2008	37.32048
Ndjamena_Chad	nan	12.11	15.031	100.00	20.00	171.15	42.7875	41.076	24.6456
Jikariya-Lake_Nigeria	lake	13.31	11.08	0.13	10.02	62.266	15.5828	14.8167	8.2804
Kajemarum-Oasis_Nigeria	lake	13.31	11.03	0.14	10.03	55.583	13.9202	13.2356	8.6064
